,Name of Chess Player,Country of Chess Player,Title of Chess Player,Rating,Description
4758,Teymur Bashirov,Azerbaijan,,,
4759,Ivar Bern,Norway,IM,2302,
4760,Pascal Deslandes,France,FM,2302,
4761,Artem Galaktionov,Russia,FM,2302,
4762,Osmel Garcia Carey,Cuba,IM,2302,
4763,Nahun Gavarrete,Honduras,FM,2302,
4764,Bjarne Hansen,Denmark,FM,2302,
4765,Diogo Duarte Guimaraes,Brazil,FM,2302,
4766,Karthik Rajaa,India,FM,2302,
4767,Doru-Alexandru Ionescu,Romania,IM,,
4768,Alexey Kukelko,Ukraine,FM,2302,
4769,Nicolai Kistrup,Denmark,FM,2302,
4770,Didier Leroy,France,IM,2302,
4771,Alberto Marquez Ortiz de Zarate,Spain,FM,2302,
4772,Menno Okkes,Netherlands,FM,2302,
4773,Jayson Salubre,Philippines,,2302,
4774,Robin Schlichtmann,Germany,,2302,
4775,Adrian Soderstrom,Sweden,FM,2302,
4776,Muhamed Sinanovic,Bosnia-Herzegovina,IM,2302,
4777,Mathieu Tournier,France,FM,2302,
4778,Daniel Almeida Toledano,Spain,FM,2302,
4779,Rastislav Briestensky,Slovakia,FM,2302,
4780,Ludovic Chandesris,France,FM,2302,
4781,Leo Crevatin,Sweden,FM,2302,
4782,Andras Dankhazi,Hungary,FM,2302,
4783,Hamidreza Ebrahimi Herab,Iran,,2302,
4784,Alexander King,United States,FM,2302,
4785,Konstantinos Markidis,Greece,FM,2302,
4786,Hendrik Olde,Estonia,FM,,
4787,Bogdan Posedaru,Romania,FM,2302,
4788,Alexander Riess,Germany,FM,,
4789,Julian Schaerer,Switzerland,FM,2302,
4790,Ivan G Stankovic,Serbia,FM,2302,
4791,Goran Vajic,Bosnia-Herzegovina,FM,2302,
4792,Dominic Wisnet,Germany,FM,2302,
4793,Loris Cereda,Italy,FM,2302,
4794,Lucas Coro,Argentina,IM,2302,
4795,Brian Hartman,Canada,IM,2302,
4796,Ayrat Vafin,Russia,FM,,
4797,Guy West,Australia,IM,,
4798,Luka Vojinovic,Serbia,FM,2302,
4799,Christoph Eichler,Germany,FM,2302,
4800,Gafiyat Fatkhutdinov,Russia,FM,,
4801,Priyanka Nutakki,India,WGM,2302,
4802,Denis Popov,Russia,FM,2302,
4803,Malik Abdulyazanov,Russia,FM,,
4804,Harald Bredl,Germany,FM,2301,
4805,Ena Cvitan,Croatia,FM,2301,
4806,Danijel Gibicar,Germany,FM,2301,
4807,Christian Koepke,Germany,IM,2301,
4808,Andy Lin,United States,FM,2301,
4809,Julien Lamorelle,France,FM,2301,
4810,Milomir Tovilovic,Serbia,FM,2301,
4811,Endrit Uruci,Kosovo,FM,2301,
4812,Maximilian Spornberger,Italy,FM,,
4813,Zoltan Istvan Zambo,Hungary,FM,2301,
4814,Vugar Asgarov,Azerbaijan,FM,,
4815,Guifre Calaf Rellver,Spain,FM,2301,
4816,Jorge Castellanos,FIDE,FM,2301,
4817,Armin Khajavi,Iran,FM,2301,
4818,Nikolay Korniushin,Russia,IM,2301,
4819,Marcello Malloni,Italy,FM,,
4820,Alejandro Mateus,Colombia,FM,2301,
4821,Benjamin Mela,Argentina,IM,,
4822,Daniel Moreno Gracia,Spain,FM,2301,
4823,Osmani Penalver,Sweden,FM,2301,
4824,Victor Ramirez Medina,Spain,FM,,
4825,Arash Roghani,Iran,IM,,
4826,Peter Sadilek,Austria,FM,2301,
4827,Herbert Scheichel,Austria,,,
4828,Mario Vutov,Bulgaria,,2301,
4829,Zdravko Zelic,Croatia,IM,2301,
4830,Frederic Decoster,Belgium,FM,2301,
4831,Zhaoqi Liu,China,,,
4832,Hamish Olson,Scotland,FM,2301,
4833,Jernej Skuhala,Slovenia,FM,2301,
4834,Yuri Hambardzumian,Armenia,IM,,
4835,Cristi Machidon,Moldova,FM,2301,
4836,Sven Charmeteau,France,FM,2301,
4837,Pascal Barzen,Germany,FM,2300,
4838,Tamas-Kristof Balla,Romania,IM,2300,
4839,Roman Burstein,Lithuania,,2300,
4840,Killian Delaney,Ireland,FM,2300,
4841,Vladan Desnica,Serbia,FM,2300,
4842,Philipp Enoeckl,Austria,FM,2300,
4843,Raffaele Di Paolo,Italy,FM,2300,
4844,Boris Goberman,Russia,,,
4845,Jozsef Istvan Gal,Hungary,FM,2300,
4846,Viktor Gasthofer,Germany,IM,2300,
4847,Frederico Gazel,Brazil,FM,2300,
4848,Toma Kirjakov,Bulgaria,,,
4849,David Kjartansson,Iceland,IM,2300,
4850,Gyula Mester,Hungary,FM,2300,
4851,Florian Mostbauer,Austria,FM,2300,
4852,Sjef Rijnaarts,Netherlands,FM,2300,
4853,Anthony Saidy,United States,IM,,
4854,Regina Theissl Pokorna,Austria,WGM,2300,
4855,Bernhard Rittmeier,Germany,,2300,
4856,Andrei Ioan Trifan,Germany,FM,2300,
4857,Nikita Abramov,Russia,FM,,
4858,Vladimir Bochnicka,Slovakia,FM,2300,
4859,Bastien Dubessay,France,FM,2300,
4860,Salih Eke,Turkey,,2300,
4861,Alexei Gubajdullin,Russia,FM,2300,
4862,Orn Leo Johannsson,Iceland,FM,2300,
4863,Zsolt Korpics,Hungary,FM,,
4864,Nikita Kuznecovs,Latvia,FM,2300,
4865,Stanislav Mikheev,Russia,IM,2300,
4866,Olaf Mueller,Germany,FM,2300,
4867,Sergey Nefedov,Russia,FM,2300,
4868,Jens Rahnfeld,Germany,FM,,
4869,Hans-Elmar Schwing,Germany,FM,2300,
4870,Vadim Skomorokhin,Russia,FM,,
4871,Emirhan Tarlabasi,Turkey,FM,2300,
4872,Rafal Tomczak,Poland,FM,2300,
4873,Rafael Duje,Paraguay,FM,,
4874,Rafael Mendoza,Colombia,IM,,
4875,Inge Sandstad Skrondal,Norway,FM,2300,
4876,Todor Galunov,Bulgaria,FM,,
4877,Xavier Povill Claros,Spain,FM,2300,
4878,Elameir Fathy,Egypt,FM,,
4879,Ruslan Sezdbekov,Kyrgyzstan,FM,2300,
4880,Jorn Sloth,Denmark,FM,2300,
4881,Roman Dehtiarov,Ukraine,FM,2300,
4882,Tymon Czernek,Poland,FM,2299,
4883,Amro El Jawich,Lebanon,FM,2299,
4884,Rinat Fakhretdinov,Russia,FM,2299,
4885,Axel Falkevall,Sweden,FM,2299,
4886,Erhard Frolik,Germany,FM,2299,
4887,Michal Horak,Czech Republic,FM,2299,
4888,Hans-Joachim Hecht,Germany,GM,2299,
4889,Mitra Hejazipour,Iran,WGM,2299,
4890,Dachey Lin,United States,FM,2299,
4891,Dede Lioe,Indonesia,IM,2299,
4892,Lazar Matyassy,Hungary,,2299,
4893,Bat-Erdene Mungunzul,Mongolia,WCM,2299,
4894,Tom Piceu,Belgium,IM,2299,
4895,Marija Rakic,Serbia,WIM,2299,
4896,Tomislav Paunovic,Serbia,IM,2299,
4897,Ondrej Toman,Czech Republic,,2299,
4898,Pavel Triapkin,Russia,FM,,
4899,Ozren Biti,Croatia,IM,2299,
4900,Yuri Boidman,Germany,IM,2299,
4901,John Merriman,England,FM,2299,
4902,Kezli Ong,Sweden,,2299,
4903,Robert Perez,United States,,2299,
4904,Liam Putnam,United States,FM,2299,
4905,Michelangelo Scalcione,Italy,FM,,
4906,Milan Walek,Czech Republic,FM,2299,
4907,Rene Wukits,Austria,FM,2299,
4908,Spyridon Naoum,Greece,,2299,
4909,Valentyn Prokofiev,Ukraine,FM,2299,
4910,Masruri Rahman,Indonesia,FM,2299,
4911,Vasilios Kotrotsos,Greece,FM,,
4912,Francisco Fiorito,Argentina,FM,2299,
4913,Cerdas Barus,Indonesia,GM,2298,
4914,Hartmuth Beck,Austria,FM,2298,
4915,Luis Eduardo Ballester Llagaria,Spain,FM,,
4916,David Blanco Diez,Spain,,2298,
4917,Sumiya Chinguun,Mongolia,FM,2298,
4918,Pavel David,Czech Republic,IM,2298,
4919,Guilherme De Borba,Brazil,FM,2298,
4920,Victor Garcia Cuenca,Spain,FM,2298,
4921,Kafar Iliaguev,Israel,FM,2298,
4922,Zlatko Ilincic,Serbia,GM,2298,
4923,Niclas Hjelm,Sweden,FM,2298,
4924,Torsten Lang,Germany,FM,2298,
4925,Dmitry Mischuk,Ukraine,IM,2298,
4926,Alexander Longson,England,FM,,
4927,John Peters,United States,IM,,
4928,Kirill Shoshin,Russia,FM,2298,
4929,Irina Sudakova,Russia,WGM,2298,
4930,Petar Spasic,Serbia,FM,2298,
4931,Dimitar Daskalov,Bulgaria,,2298,
4932,Evgeny Klimentov,Russia,FM,2298,
4933,Jermo Kooijmans,Netherlands,FM,2298,
4934,Bela Molnar,Hungary,IM,2298,
4935,Myint Han,Myanmar,IM,2298,
4936,Roman Novoselov,Russia,,2298,
4937,Christian Palozza,Italy,FM,2298,
4938,Gaetan Polard,France,FM,,
4939,Juan Luis Ramiro Ovejero,Spain,IM,2298,
4940,Ari Ziegler,Sweden,IM,2298,
4941,Julian Zimmermann,Germany,FM,2298,
4942,Mateusz Brozyna,Poland,FM,2298,
4943,Sopio Gvetadze,Georgia,IM,2298,
4944,Marko Ivanovic,Serbia,,2298,
4945,Andy Marechal,Belgium,FM,2298,
4946,Reyson Ricardo Rodriguez Basulto,Cuba,FM,2298,
4947,Zbynek Vrbata,Czech Republic,FM,2298,
4948,Shelby Getz,United States,FM,,
4949,Cesar Camilo Perez Olarte,Colombia,,2298,
4950,Dani Vombek,Slovenia,FM,2298,
4951,V Saravanan,India,IM,2298,
4952,Tristan Boyd,Australia,FM,,
4953,Eyal Deutsch,Israel,IM,2297,
4954,Lukas Fiderer,Germany,,,
4955,Zoltan Horvath,Hungary,FM,,
4956,Mark Helbig,Germany,FM,2297,
4957,Leonardo Loiacono,Italy,FM,2297,
4958,Agnieszka Matras-Clement,Canada,WIM,,
4959,Srdjan Marangunic,Croatia,IM,2297,
4960,Mikko Niemi,Finland,FM,2297,
4961,Veselin Mihajlovic,Montenegro,FM,,
4962,Marlon Schlawin,Germany,,2297,
4963,Jan Sosna,Czech Republic,IM,2297,
4964,Johannes Tschernatsch,Germany,FM,2297,
4965,Patrik Stevik,Slovakia,,2297,
4966,Erick Zhao,United States,FM,2297,
4967,Petr Spacek,Czech Republic,IM,2297,
4968,Philipp Aeschbach,Switzerland,FM,2297,
4969,Vlastimil Babula,Czech Republic,,2297,
4970,Samuel G A Franklin,England,FM,2297,
4971,Dmitry Kononenko,Ukraine,FM,2297,
4972,Mario Livaja,Serbia,FM,2297,
4973,Gunnar Lund,Norway,FM,2297,
4974,Franklin Annervys Palomo,Venezuela,FM,2297,
4975,Krzysztof Panczyk,Poland,IM,2297,
4976,Alberto Rivera,FIDE,IM,2297,
4977,Dr Torben Schulze,Germany,,2297,
4978,Iamze Tammert,Germany,WIM,2297,
4979,Jaume Vives Esmerat,Spain,FM,,
4980,Ludwig Zesch,Germany,FM,2297,
4981,Danilo Besedes,Serbia,FM,2297,
4982,Jakub Luberanski,Poland,FM,2297,
4983,Silvio Eduardo Oliveira,Brazil,,2297,
4984,Tamas Papp,Hungary,FM,2297,
4985,Alvaro Perez De Miguel,Spain,FM,,
4986,Dmitrij Skurikhin,Russia,FM,,
4987,Stefano Yao,Italy,FM,2297,
4988,Emre Emin Dedebas,Turkey,FM,2297,
4989,Juergen Kaufeld,Germany,FM,2297,
4990,David Sarenac,Serbia,,,
4991,Santiago Lopez Rayo,Colombia,FM,2297,
4992,Xavier Bedouin,France,IM,2296,
4993,Javier Antonio Contreras Torres,Mexico,FM,2296,
4994,Nicolas Friess,France,FM,,
4995,Tamas Horvath,Hungary,IM,,
4996,Juan Sebastian Herrera,Colombia,FM,2296,
4997,Tunahan Makaraci,Turkey,,2296,
4998,Dominique Leygue,France,FM,2296,
4999,Juras Mickevicius,Lithuania,,2296,
5000,Denis Pavlov,Russia,FM,,
5001,Andrew Peredun,Canada,FM,,
5002,Serguei Vesselovsky,Czech Republic,IM,2296,
5003,Petr Sprenar,Czech Republic,FM,2296,
5004,Laura Unuk,Slovenia,IM,2296,"Laura Unuk is a Slovenian woman grandmaster and international master. She was a successful young player, winning the Slovenian Girls Chess Championship in 2009 (U-10), 2011 (U-12), 2013 (U-14), 2014 (U-16), 2015 (U-16), 2016 (U-18), and 2017 (U-18). She also won the World Youth Chess Championship U-16..."
5005,Csaba Berczes,Hungary,IM,2296,
5006,Harald Casagrande,Austria,IM,2296,
5007,Bjarke Jensen,Denmark,FM,2296,
5008,Branislav Kiproski,Serbia,FM,2296,
5009,David Kudischewitsch,Russia,IM,2296,
5010,Guillermo Llanos,Argentina,IM,2296,
5011,Judicael Meillon,France,FM,2296,
5012,Levente Miszler,Hungary,CM,2296,
5013,Jan Pubantz,Germany,,2296,
5014,Adrian Randazzo,Italy,FM,2296,
5015,Sinisa Remecki,Serbia,FM,2296,
5016,Nenad Robulj,Serbia,FM,,
5017,Sergey Stavroyany,Ukraine,FM,2296,
5018,Ori Taichman,Israel,FM,2296,
5019,Adar Tarhan,Turkey,FM,2296,
5020,Goran N Todorovic,Serbia,IM,2296,
5021,Uku Valner,Estonia,FM,,
5022,Matyas Zeman,Czech Republic,FM,2296,
5023,Sjur Ferkingstad,Norway,FM,2296,
5024,Zviad Sichinava,Russia,,2296,
5025,Yaacov Sivan,Israel,IM,2296,
5026,Eelke Wiersma,Netherlands,IM,2296,
5027,Shojaat Ghane,Iran,GM,2296,
5028,Agoston Juhasz,Hungary,FM,2296,
5029,Felipe Kubiaki Menna Barreto,Brazil,FM,2296,
5030,Nicola Capone,Belgium,IM,2295,
5031,Daniel Garrido Fernandez,Spain,,2295,
5032,Miguel Angel Garavito,Colombia,FM,2295,
5033,Hermann Knoll,Austria,IM,2295,
5034,Alexander Kitze,Germany,,,
5035,Egons Lavendelis,Latvia,FM,2295,
5036,Szidonia Lazarne Vajda,Hungary,IM,2295,
5037,Florian Mossakowski,Germany,FM,2295,
5038,Amir Mohammadi,Sweden,,2295,
5039,Aleksej Litwak,Germany,FM,2295,
5040,Daniyar Medybayev,Kazakhstan,,,
5041,Nenad Panic,Serbia,IM,2295,
5042,Aleksandar Rusev,Bulgaria,FM,2295,
5043,David Zakarian,Armenia,FM,2295,
5044,Xulio Del Prado Rodriguez,Spain,FM,2295,
5045,Patrick Gong,Australia,FM,2295,
5046,Iain Gourlay,Scotland,FM,2295,
5047,Ingo Gronde,Germany,,2295,
5048,Osvaldo Lopez Gari,Cuba,FM,,
5049,Zoran Novoselski,Serbia,IM,2295,
5050,Nikolai Papenin,Russia,IM,,
5051,Jakub Rabatin,Czech Republic,FM,2295,
5052,Daniel Rivera Kuzawka,Uruguay,IM,2295,
5053,Hans-Hubert Sonntag,Germany,IM,2295,
5054,Zisis Tsaknakis,Greece,FM,2295,
5055,Noam Aviv Vitenberg,Norway,FM,2295,
5056,Olga Zimina,Italy,IM,2295,
5057,Nejc Drnovsek,Slovenia,,2295,
5058,Bogdan Podlesnik,Montenegro,IM,2295,
5059,Luis Ernesto Rodi,Uruguay,IM,2295,
5060,Adriano Rodrigues,Brazil,FM,,
5061,Martin Bulockin,Czech Republic,FM,2295,
5062,Georgios-Alexandros Kouskoutis,Greece,FM,2295,
5063,Tatev Abrahamyan,United States,WGM,2294,"WGM Tatev Abrahamyan is an Armenian-American chess player who, as of February 2020, is the 101st-ranked woman in the world. Going by axvesik on Chess.com, she is a streamer and blogger, and presents educational videos on the site.

Early Life And Career
U.S. Women’s Championship
Chess Olympiad
In..."
5064,Andreu Blasco Coll,Spain,FM,2294,
5065,Joshua Colas,United States,FM,2294,
5066,Dagne Ciuksyte,England,IM,,
5067,Evgeni Dragomarezkij,Russia,IM,2294,
5068,Jorge Marcos Gomez Sanchez,Cuba,IM,2294,
5069,Maxim Evchin,Ukraine,,2294,
5070,Daniel Kristoferitsch,Austria,FM,2294,
5071,Eesha Karavade,India,IM,2294,"In this Indian name, the name Karavade is a patronymic, and the person should be referred to by the given name, Eesha."
5072,Petri Kekki,Finland,IM,2294,
5073,Hector Laiz Ibanez,Spain,FM,2294,
5074,Csaba Kerek,Hungary,,,
5075,Eduardo Thelio Limp,Brazil,IM,2294,
5076,Guerau Masague Artero,Spain,FM,2294,
5077,Florian Ott,Germany,FM,2294,
5078,Serhiy Paryokha,Ukraine,,2294,
5079,Simon Rybka,Slovakia,FM,2294,
5080,Andraz Suta,Slovenia,,2294,
5081,Luca Suvorov,Germany,FM,2294,
5082,Udo Hoffmann,Germany,FM,2294,
5083,Ergin Mollaoglu,Turkey,IM,,
5084,Valeri Chalimov,Ukraine,IM,2294,
5085,Igor Solomunovic,Serbia,IM,2294,
5086,Bruce R Watson,New Zealand,FM,,
5087,Joshua Christie,Jamaica,FM,2294,
5088,Vladimir Echevarria Del Toro,Cuba,FM,,
5089,Gregor Haag,Germany,,2294,
5090,Baurzhan Kassimov,Kazakhstan,IM,2294,
5091,Juan Labiano Hernandez,Spain,FM,2294,
5092,Dang Hong Phuc Nguyen,Vietnam,FM,,
5093,Srdjan Rogac,Serbia,IM,2294,
5094,Alexander Van Beek,Netherlands,IM,2294,
5095,Alexander Dehlinger,Germany,FM,,
5096,Joa Max Bornholdt,Germany,FM,2294,
5097,Asyl Abdyjapar,Kyrgyzstan,IM,2293,Asyl Abdyjapar is a chess international master from Kyrgyzstan who qualified for the 2021 FIDE World Cup.
5098,Lars Borbjerggaard,Denmark,IM,,
5099,Eelke De Boer,Netherlands,FM,2293,
5100,Alejo De Dovitiis,Argentina,IM,2293,
5101,Vincent Diepeveen,Netherlands,FM,,
5102,Frederik Fries,Germany,,,
5103,Egor Filipets,Belarus,FM,2293,
5104,Abdullah Hassan,United Arab Emirates,IM,,
5105,Manfred Hermann,Germany,IM,,
5106,Nino Khomeriki,Georgia,WGM,,
5107,Imre Kukel,Slovakia,FM,2293,
5108,Zoran S Markovic,Serbia,IM,2293,
5109,Adan Manuel Mazara Ruiz,Dominican Republic,FM,2293,
5110,Jacques Netzer,France,FM,2293,
5111,Johannes Mundorf,Germany,,2293,
5112,Fabrizio Patuzzo,Switzerland,FM,2293,
5113,Nicholas Vettese,Canada,IM,2293,
5114,Guennadi Tounik,Russia,GM,2293,
5115,Vyacheslav Holmskiy,Russia,,,
5116,Hong Li,China,FM,,
5117,Pascal Neukirchner,Germany,FM,2293,
5118,Daniel Perez,Argentina,FM,2293,
5119,Llambi Qendro,Albania,IM,2293,
5120,Christophe Rohrer,Switzerland,,2293,
5121,Jouni Yrjola,Finland,GM,2293,
5122,Ernesto Mendez,Argentina,IM,,
5123,Sarah Papp,Germany,WGM,2293,
5124,Hans Ree,Netherlands,GM,2293,
5125,Eric Vaarala,Sweden,,2293,
5126,Dr Walter Wengenroth,Germany,FM,2293,
5127,Liviu-Ioan Oltean,Romania,FM,,
5128,Spartaco Sarno,Italy,IM,2293,
5129,Eigen Wang,United States,FM,2293,
5130,Frank Roeder,Germany,FM,2293,
5131,Tomas Krak,Slovakia,FM,2293,
5132,Samet Harun Ozsac,Turkey,FM,2293,
5133,Farzad Bolourchifard,Iran,FM,,
5134,A Izrailev,Russia,,2292,
5135,Dusan Colovic,Serbia,FM,2292,
5136,Alban Delorme,France,FM,2292,
5137,Kamo Gurtovoy,Russia,,,
5138,Alexander Hilverda,Germany,,2292,
5139,Bogdan Kalabukhov,Russia,FM,,
5140,Felix Klein,Germany,FM,2292,
5141,Benjamin Le Corre,France,FM,2292,
5142,Jacques Kolly,Switzerland,FM,2292,
5143,Frank Mayer,Germany,,2292,
5144,D.N. Shmakov,Russia,IM,,
5145,Viktor Tverdohlebov,Ukraine,,2292,
5146,Henning Silber,Germany,FM,2292,
5147,Sebastien Tranchant,France,FM,2292,
5148,Pedro Aderito,Angola,IM,,
5149,Adithya B,India,,,
5150,Veaceslav Cofmann,Germany,FM,2292,
5151,Benedikt Huber,Germany,FM,2292,
5152,Rolando Kutirov,North Macedonia,GM,,
5153,Gennadiy Kuzmin,Russia,,,
5154,Henry Li,Ireland,FM,2292,
5155,D Brett Lund,England,,,
5156,Jovan Radlovacki,Serbia,IM,2292,
5157,Aleksey Shemetov,Russia,FM,,
5158,Agustin Villarreal,Argentina,FM,2292,
5159,Fyodor Myshakov,Ukraine,FM,,
5160,Sjoerd Van Roon,Netherlands,FM,2292,
5161,Zhenyong Jayden Wong,Singapore,CM,2292,
5162,Beloslava Krasteva,Bulgaria,FM,2292,
5163,Dan Cramling,Sweden,IM,2291,
5164,Mark Ginsburg,United States,IM,2291,
5165,David Haszon,Hungary,FM,2291,
5166,Dragan Kosanovic,Serbia,FM,2291,
5167,Fabian Matt,Austria,FM,2291,
5168,Bojan Mihic,Serbia,,2291,
5169,Mario Sandhu,Austria,FM,,
5170,Dirk Paulsen,Germany,FM,2291,
5171,Ismael David Vidal Melendez,Venezuela,FM,2291,
5172,Gosta Svenn,Sweden,FM,2291,
5173,Josip Asik,Serbia,FM,2291,
5174,Dinko Brumen,Croatia,IM,2291,
5175,Michael De Verdier,Sweden,FM,,
5176,Can Dolgun,Turkey,FM,2291,
5177,Ivo Donev,Austria,IM,2291,Full bio coming soon...
5178,Manuel Larrea,Uruguay,FM,2291,
5179,Oliver Niklasch,Germany,IM,2291,
5180,Kristen Schmidt,Denmark,,2291,
5181,Joachim Brueggemann,Germany,IM,2291,
5182,Michael Hofmann,Switzerland,FM,,
5183,Petar Krstic,Serbia,FM,2291,
5184,Davide Podetti,Italy,,2291,
5185,Sergey Sergienko,Russia,IM,2291,
5186,Bertrand Valuet,France,FM,2291,
5187,Domen Krumpacnik,Slovenia,IM,2291,
5188,Marc Ortega Serra,Spain,,2291,
5189,Alexandr P. Provotorov,Russia,IM,2291,
5190,Mats 1960 Andersson,Sweden,FM,2291,
5191,Sauat Nurgaliyev,Kazakhstan,CM,2291,
5192,Tamerlan Chyndygyr,Russia,FM,2290,
5193,Sanjin Culum,Bosnia-Herzegovina,FM,2290,
5194,Remi Doyen,France,,2290,
5195,Salvador Guerra Rivera,Spain,FM,2290,
5196,Andres Luque Saiz,Spain,FM,2290,
5197,Michael Lurie,Israel,,2290,
5198,Hector Mestre Bellido,Spain,IM,2290,
5199,Zoran Runic,Bosnia-Herzegovina,IM,2290,
5200,Igor Iagoupov,Russia,GM,2290,
5201,Michael Strache,Germany,,2290,
5202,Mariia Berdnyk,Ukraine,FM,2290,
5203,Bernardo Cesar Maestre,Spain,FM,2290,
5204,Radi Danov,Bulgaria,FM,,
5205,Joey Grochal,Netherlands,FM,2290,
5206,Mike Ivanov,Canada,FM,2290,
5207,Krishan Jhunjhnuwala,United States,FM,2290,
5208,Krzysztof Lukasiewicz,Poland,FM,2290,
5209,Murad Nuri,Azerbaijan,FM,,
5210,K Rathnakaran,India,IM,2290,
5211,Ioannis Stathopoulos,Greece,FM,2290,
5212,Gavin Wall,Ireland,IM,2290,
5213,Mauro Ampie,Nicaragua,FM,,
5214,Jonas Gallasch,Germany,FM,2290,
5215,Anders Grandell,Sweden,FM,2290,
5216,Jose L San Emeterio Cabanes,Spain,FM,2290,
5217,Mats Welin,Sweden,FM,2290,
5218,Cesar Alejandro Perez Rodriguez,Cuba,FM,2290,
5219,Wojciech Reza,Poland,FM,2290,
5220,Jahandar Azadaliyev,Azerbaijan,FM,2290,
5221,Maxim Bekker,Russia,FM,,
5222,Dina Belenkaya,Israel,WGM,2289,"Dina Belenkaya is a Russian woman grandmaster and chess streamer. As a chess player, she won the Russian First League in 2011 and the St. Petersburg Women's Championship three times (2015, 2018, and 2020).
Belenkaya also has a Twitch channel with her sister, Asya Belenkaya. They have more than 15,000..."
5223,Alexandre Iwanesko,France,,,
5224,Veljko Draganic,Montenegro,,2289,
5225,Michal Fiedorek,Poland,FM,2289,
5226,Senen Garcia del Rey,Spain,FM,,
5227,Bernd Korsus,Germany,,2289,
5228,Vladimir I Karasev,Russia,IM,,
5229,Peter Keller,Germany,FM,2289,
5230,Martynas Limontas,Lithuania,FM,2289,
5231,Pavel Karnik,Czech Republic,,2289,
5232,Andrii Punin,Ukraine,FM,,
5233,Igor Schlegel,Switzerland,FM,2289,
5234,Bernhard Stillger,Germany,FM,2289,
5235,Vlad Ungureanu,Romania,FM,2289,
5236,Timothy F Binham,Finland,IM,2289,
5237,Nils De Vos,Belgium,,,
5238,Romuald Delabaca,France,FM,2289,
5239,Ghazal Hakimifard,Switzerland,WGM,2289,
5240,Yelyzaveta Hrebenshchykova,Ukraine,,2289,
5241,Guido Kaspret,Austria,FM,2289,
5242,Lars Neumeier,Germany,FM,2289,
5243,Ernesto Piedra Salabarria,Cuba,FM,,
5244,Thomas Saatdjian,France,FM,2289,
5245,J Sai Agni Jeevitesh,India,IM,2289,
5246,Oscar Gerardo Sanchez Enriquez,Mexico,IM,2289,
5247,N Sanjay,India,,2289,
5248,Enrique Alejandro Scarella,Argentina,IM,2289,
5249,Volodymyr Vyval,Ukraine,,2289,
5250,Hans-Joachim Waldmann,Germany,,2289,
5251,Felix Orlando Arguelles Loy,Cuba,,2289,
5252,Daniel Centron Antuna,Spain,,2289,
5253,Niels Christensen,Denmark,,2289,
5254,Jakob Gstach,Austria,FM,2289,
5255,Dusan Nedic,Germany,,2289,
5256,Nebojsa Nikolic,Bosnia-Herzegovina,IM,2289,
5257,Francisco Rubio Tent,Spain,FM,2289,
5258,Laimutis Solys,Lithuania,FM,2289,
5259,Alman Durakovic,Bosnia-Herzegovina,FM,2289,
5260,Alicja Sliwicka,Poland,WIM,2289,
5261,Roman Popov,Russia,IM,,
5262,Kevin Bordi,France,,,"Kevin Bordi is a French national master, content creator, and streamer superstar. He's the most popular chess streamer in France and the Director of French Content for Chess.com.

Chess Career
Blitzstream Channels
Chess.com Content


Chess Career
Kevin Bordi learned to play chess when he was just a..."
5263,Alphaeus Wei Ern Ang,New Zealand,FM,2288,
5264,Istvan Blasko,Hungary,IM,2288,
5265,Ronald Burnett,United States,IM,2288,
5266,Marco Delgado Romero,Peru,,2288,
5267,Jonas Foerster,Germany,,2288,
5268,Vaclav Fiala,Czech Republic,,2288,
5269,Sergio Diaz Castro,Spain,FM,2288,
5270,Alejandro Garcia Garcia,Cuba,FM,2288,
5271,Derek Gaede,Germany,FM,2288,
5272,Yannick Houard,France,,,
5273,Alexandr Ledakov,Russia,FM,,
5274,Amirmasoud Moradi,Iran,,2288,
5275,Jiri Nun,Czech Republic,IM,2288,
5276,Lev Paciorkowski,United States,,2288,
5277,Yaroslav Pavlovski,Russia,FM,,
5278,Robert Schlamp,Germany,FM,2288,
5279,Zala Urh,Slovenia,WIM,2288,
5280,Radoje Irizanin,Serbia,FM,2288,
5281,Yunshan Li,China,WIM,2288,
5282,Ognjen Matko,Croatia,FM,2288,
5283,Tim Ronge,Germany,,2288,
5284,Kai-Uwe Schiffer,Germany,FM,2288,
5285,Joerg Weidemann,Germany,FM,2288,
5286,Claudiu Zetocha,Slovakia,FM,2288,
5287,Alexander Gschiel,Austria,FM,2288,
5288,Bryan Jose,Philippines,,,
5289,Jerzy Kyc,Poland,,2288,
5290,Chingiz Serikbay,Kazakhstan,FM,,
5291,Loek Van der Hagen,Netherlands,,2288,
5292,Joris Gerlagh,Netherlands,,2288,
5293,Siar Yaran,Turkey,CM,2288,
5294,Volkan Sevgi,Turkey,FM,2288,
5295,Nikolai Andrianov,Russia,IM,2287,
5296,Dr Janos Bali,Hungary,,2287,
5297,Milorad Dimitrijevic,Serbia,FM,2287,
5298,David Gloser,Czech Republic,,2287,
5299,Lars Goldbeck,Germany,FM,2287,
5300,Dominik Laux,Germany,FM,2287,
5301,Mladen Milenkovic,Serbia,IM,2287,
5302,Jeremy Moucheroud,France,FM,2287,
5303,Ildar Nizamov,Russia,IM,,
5304,Farid Mustafayev,Azerbaijan,FM,2287,
5305,Richmond Phiri,Zambia,IM,2287,
5306,Pavel Salman,Russia,FM,,
5307,Julia Ryjanova,Australia,WGM,2287,
